District,Zone,Latitude,Longitude
Bahraich,Orange,27.7337,81.4773
Ballia,Green,25.7611,84.1483
Balrampur,Orange,27.4333,82.1833
Banda,Orange,25.5008,80.4998
Barabanki,Green,26.9200,81.2000
Bareilly,Red,28.4167,79.3833
Basti,Orange,27.2500,83.0000
Bhadohi,Orange,25.4200,82.5700
Bijnor,Red,29.4060,78.4809
Budaun,Orange,28.0300,79.0900
Bulandshahr,Red,28.4170,77.8330
Chandauli,Green,25.1266,83.2497
Chitrakoot,Green,25.2195,81.1023
Deoria,Orange,26.4238,83.7627
Etah,Orange,27.5541,78.6008
Etawah,Orange,26.7855,79.0150
Farrukhabad,Green,27.4372,79.4891
Fatehpur,Orange,25.9333,80.8000
Firozabad,Red,27.1500,78.3949
Gautam Buddh Nagar,Red,28.5333,77.3891
Ghaziabad,Orange,28.6604,77.4084
Ghazipur,Orange,25.6035,83.5075
Gonda,Orange,27.1097,81.9183
Gorakhpur,Orange,26.7550,83.3739
Hamirpur,Green,25.7500,80.0000
Hapur,Orange,28.7437,77.7628
Hardoi,Orange,27.3386,80.0975
Hathras,Orange,27.6000,78.0500
Jalaun,Orange,26.0600,79.4200
Jaunpur,Orange,25.7956,82.4883
Jhansi,Orange,25.4486,78.5696
Kannauj,Orange,26.9997,79.6886
Kanpur Dehat,Green,26.4600,79.8555
Kanpur Nagar,Red,26.4402,80.2693
Kasganj,Orange,27.8200,78.6500
Kaushambi,Orange,25.5361,81.4467
Kushinagar,Green,26.7438,83.9162
Lakhimpur Kheri,Green,27.9851,80.7538
Lalitpur,Green,24.6902,78.4160
Lucknow,Red,26.8550,80.9150
Maharajganj,Green,27.1300,83.5700
Mahoba,Green,25.3618,79.7050
Mainpuri,Orange,27.1667,79.0000
Mathura,Red,27.5000,77.6700
Mau,Orange,26.0377,83.4979
Meerut,Red,28.9900,77.7000
Mirzapur,Orange,25.1500,82.6000
Moradabad,Red,28.8300,78.7800
Muzaffarnagar,Red,29.4723,77.7089
Pilibhit,Orange,28.5500,80.1000
Pratapgarh,Orange,25.9330,81.9830
Allahabad,Orange,25.4500,81.8500
Raebareli,Red,26.2338,81.2336
Rampur,Red,28.8000,79.0000
Saharanpur,Red,29.9700,77.5500
Sambhal,Orange,28.5800,78.5500
Sant Kabir Nagar,Red,26.7883,82.9601
Shahjahanpur,Green,27.9126,79.7466
Shamli,Orange,29.4481,77.3103
Shravasti,Orange,27.5083,82.0264
Siddharthnagar,Green,27.2991,83.0928
Sitapur,Orange,27.5046,80.8295
Sonbhadra,Green,24.3866,83.0786
